City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,itaituba,-4.2761,-55.9836,304.24,58,20,1.54,BR,1718047086
83,dunedin,-45.8742,170.5036,279.15,65,8,4.02,NZ,1718047023
84,tamanrasset,22.785,5.5228,307.1,7,40,4.63,DZ,1718047086
85,westport,41.1415,-73.3579,298.64,54,100,5.66,US,1718046993
86,la'ie,21.6477,-157.9253,301.13,73,6,3.13,US,1718047086
87,beyneu,45.3167,55.2,305.08,25,56,3.1,KZ,1718047086
88,sungai penuh,-2.0833,101.3833,293.01,98,88,0.18,ID,1718047086
89,san luis de la loma,17.2706,-100.8939,303.67,59,100,6.0,MX,1718047086
90,elamanchili,17.55,82.8667,303.27,79,96,2.48,IN,1718047086
91,klyuchi,52.2667,79.1667,293.22,83,83,4.55,RU,1718047086
92,porto velho,-8.7619,-63.9039,307.18,46,40,2.57,BR,1718047077
93,thompson,55.7435,-97.8558,292.24,37,75,4.12,CA,1718047034
94,pilar,-9.5972,-35.9567,301.11,82,83,3.08,BR,1718047086
95,ust-nera,64.5667,143.2,285.07,42,96,1.19,RU,1718047034
96,rio grande,-32.035,-52.0986,294.21,88,13,5.06,BR,1718047087
97,watertown,42.3709,-71.1828,299.29,50,75,4.63,US,1718047087
98,naze,28.3667,129.4833,292.66,95,100,4.61,JP,1718047087
99,hotan,37.0997,79.9269,297.89,29,75,2.53,CN,1718047087
100,tobetsu,43.2169,141.5169,288.2,96,99,2.8,JP,1718047087
101,sisimiut,66.9395,-53.6735,278.81,73,100,2.08,GL,1718047087
102,shanhaiguan,39.9988,119.7564,292.52,67,100,2.01,CN,1718047087
103,longyearbyen,78.2186,15.6401,279.06,61,0,1.54,SJ,1718047087
104,luderitz,-26.6481,15.1594,292.89,48,69,2.41,NA,1718047087
105,diamantino,-14.4086,-56.4461,306.37,24,6,2.42,BR,1718046798
106,patos,-7.0244,-37.28,306.85,31,45,8.51,BR,1718047087
107,pingliang,35.5392,106.6861,291.12,49,20,2.22,CN,1718046870
108,kapuskasing,49.4169,-82.4331,288.2,44,0,5.66,CA,1718047088
109,coquimbo,-29.9533,-71.3436,290.36,76,0,4.12,CL,1718047000
110,mahina,-17.5065,-149.489,299.02,78,75,2.06,PF,1718047088
111,kumagunnam,13.1551,10.6342,308.74,26,34,2.12,NG,1718047088
112,aladag,37.5485,35.396,295.95,45,0,3.26,TR,1718047088
113,hadibu,12.65,54.0333,301.33,75,16,7.24,YE,1718046999
114,pachino,36.7186,15.0907,295.3,82,15,4.63,IT,1718047088
115,ribeira grande,38.5167,-28.7,294.37,68,40,4.12,PT,1718047088
116,callao,-12.0667,-77.15,293.31,64,75,4.63,PE,1718046961
117,afaahiti,-17.75,-149.2833,298.08,85,98,5.57,PF,1718047088
118,vadso,70.0744,29.7487,278.64,93,100,9.77,NO,1718047088
119,minas de marcona,-15.2119,-75.1103,291.69,51,100,4.41,PE,1718047088
120,novoazovs'k,47.1139,38.086,296.49,68,0,2.69,UA,1718047088
121,san patricio,28.017,-97.5169,306.96,37,80,4.5,US,1718047088
122,praia da vitoria,38.7333,-27.0667,294.68,73,20,3.47,PT,1718047088
123,atafu village,-8.5421,-172.5159,301.69,76,33,6.61,TK,1718047088
124,alofi,-19.0595,-169.9187,294.09,78,20,1.54,NU,1718047088
125,ushuaia,-54.8,-68.3,271.94,80,40,1.03,AR,1718046808
126,evanston,42.0411,-87.6901,296.2,49,20,5.66,US,1718046893
127,puerto ayora,-0.7393,-90.3518,304.13,93,45,2.24,EC,1718047088
128,zilair,52.2332,57.4392,287.51,96,0,1.98,RU,1718047088
129,carutapera,-1.195,-46.02,299.65,93,98,3.22,BR,1718047088
130,kaihua,23.3687,104.28,291.43,97,100,2.13,CN,1718047089
131,umunede,6.2637,6.3116,296.65,96,99,1.72,NG,1718047089
132,yellowknife,62.456,-114.3525,286.44,87,100,3.09,CA,1718047089
133,nova sintra,14.8667,-24.7167,296.78,80,0,8.77,CV,1718046970
134,erenhot,43.6475,111.9767,293.75,47,80,7.76,CN,1718047089
135,greenland,43.0362,-70.8328,297.77,57,75,4.63,US,1718047089
136,fale old settlement,-9.3852,-171.2468,302.05,75,24,7.03,TK,1718047089
137,kimbe,-5.5502,150.1429,297.33,95,80,1.71,PG,1718047089
138,a estrada,42.6833,-8.4833,288.83,71,0,1.34,ES,1718047089
139,gadzhiyevo,69.2551,33.3362,284.68,79,100,2.23,RU,1718047089
140,umm kaddadah,13.6017,26.6876,302.45,44,100,6.53,SD,1718047089
141,choma,-16.8065,26.9531,284.3,62,0,2.32,ZM,1718047089
142,forster,-32.1667,152.5167,286.24,69,100,3.69,AU,1718047089
143,wick,58.4333,-3.0833,281.18,93,75,6.17,GB,1718047089
144,egilsstadir,65.2653,-14.3948,283.1,57,20,4.63,IS,1718047089
145,robore,-18.3333,-59.75,306.2,46,20,7.72,BO,1718047089
146,santo tomas,14.1079,121.1414,301.29,94,67,0.06,PH,1718047089
147,adrar,20.5022,-10.0711,311.21,16,4,5.27,MR,1718047089
148,oppdal,62.5943,9.6912,280.62,85,100,3.65,NO,1718047089
149,watampone,-4.5386,120.3279,298.25,84,92,1.39,ID,1718047089
150,cedral,23.8,-100.7333,304.3,20,12,4.7,MX,1718047089
151,nemuro,43.3236,145.575,283.45,100,98,4.06,JP,1718047090
152,batie,9.8833,-2.9167,305.45,43,78,0.97,BF,1718047090
153,machico,32.7,-16.7667,295.21,76,75,4.63,PT,1718047090
154,stanley,54.868,-1.6985,281.32,90,20,2.57,GB,1718047090
155,avarua,-21.2078,-159.775,296.18,56,8,2.57,CK,1718047090
156,inarajan village,13.2736,144.7484,301.23,94,100,3.99,GU,1718047090
157,blackmans bay,-43.0167,147.3167,284.22,82,100,2.68,AU,1718047090
158,dhuusamarreeb,5.535,46.3861,301.45,53,46,10.32,SO,1718047090
159,karratha,-20.7377,116.8463,292.86,58,0,2.05,AU,1718047090
160,yatou,37.15,122.3833,292.84,85,9,3.17,CN,1718047090
161,okhotsk,59.3833,143.3,279.75,83,100,1.23,RU,1718047090
162,juva,56.4368,57.9478,286.41,87,0,1.62,RU,1718047090
163,ban tak,17.0432,99.0813,299.94,95,100,1.05,TH,1718047090
164,bunbury,-33.3333,115.6333,289.67,58,100,5.6,AU,1718047090
165,launceston,-41.45,147.1667,285.56,93,100,10.29,AU,1718047090
166,ola,59.5833,151.2833,281.01,80,100,2.01,RU,1718047090
167,khandyga,62.6667,135.6,283.96,78,42,0.75,RU,1718047090
168,ndelele,4.0333,14.9333,294.3,98,100,0.64,CM,1718047090
169,ambovombe,-25.1667,46.0833,291.53,74,29,8.55,MG,1718047090
170,san-pedro,4.7485,-6.6363,298.15,91,100,3.33,CI,1718047090
171,kununurra,-15.7667,128.7333,285.14,94,97,0.0,AU,1718046905
172,brookings,44.3114,-96.7984,296.58,45,11,2.99,US,1718047090
173,talnakh,69.4865,88.3972,279.38,91,11,3.28,RU,1718047091
174,hithadhoo,-0.6,73.0833,301.77,69,100,2.24,MV,1718047091
175,baran,25.1,76.5167,307.6,38,71,3.9,IN,1718047091
176,college,64.8569,-147.8028,294.51,53,75,2.06,US,1718047091
177,padang,-0.9492,100.3543,300.18,83,100,1.64,ID,1718047091
178,saint-henri,46.6921,-71.0671,293.07,87,100,3.6,CA,1718047091
179,manta,-0.95,-80.7333,302.03,61,40,4.63,EC,1718047091
180,enewetak,11.3474,162.3373,301.29,82,94,7.61,MH,1718047091
181,whitehorse,60.7161,-135.0538,290.94,36,75,4.12,CA,1718047091
182,hawaiian paradise park,19.5933,-154.9731,298.72,83,100,3.09,US,1718047091
183,kolonia town,6.964,158.206,299.15,100,100,1.03,FM,1718047091
184,bouca,6.5105,18.2733,298.06,67,100,1.69,CF,1718047091
185,khabary,53.6259,79.5345,290.35,95,100,3.57,RU,1718047091
186,cide,41.8921,33.0044,295.81,62,0,2.78,TR,1718047091
187,saint-francois,46.4154,3.9054,290.84,64,0,3.6,FR,1718047091
188,saint-philippe,-21.3585,55.7679,295.92,78,53,5.09,RE,1718047091
189,morrope,-6.5417,-80.0111,296.21,58,11,7.05,PE,1718047091
190,yeppoon,-23.1333,150.7333,283.85,53,0,2.5,AU,1718047092
191,vorgashor,67.5833,63.95,275.26,96,100,2.93,RU,1718047092
192,mejit,10.2753,170.8646,301.54,78,55,8.05,MH,1718047092
193,hobyo,5.3505,48.5268,299.82,77,99,13.12,SO,1718047092
194,labytnangi,66.6572,66.4183,281.69,88,78,3.44,RU,1718047092
195,korhogo,9.45,-5.6333,302.71,55,16,1.24,CI,1718047092
196,arraias,-12.9288,-46.9437,302.67,37,53,4.25,BR,1718047092
197,baker city,44.7749,-117.8344,297.99,38,0,3.6,US,1718047089
198,vuokatti,64.146,28.2697,284.07,86,100,2.15,FI,1718047092
199,mar del plata,-38.0023,-57.5575,289.16,78,0,4.12,AR,1718046993
200,bonthe,7.5264,-12.505,299.9,84,100,3.66,SL,1718047092
201,udachny,66.4167,112.4,290.62,40,34,0.71,RU,1718047092
202,disina,11.4814,9.919,306.18,34,99,1.84,NG,1718047092
203,geraldton,-28.7667,114.6,289.38,94,100,4.63,AU,1718047092
204,la ronge,55.1001,-105.2842,290.29,45,75,3.6,CA,1718047092
205,kachug,53.9606,105.8817,283.73,93,10,1.34,RU,1718047092
206,ati,13.2154,18.3353,303.73,46,16,3.57,TD,1718047093
207,new norfolk,-42.7826,147.0587,284.87,76,100,4.48,AU,1718047093
208,andalgala,-27.5819,-66.3165,295.6,29,0,4.34,AR,1718047093
209,chonchi,-42.6128,-73.8092,284.71,92,99,3.95,CL,1718047093
210,tarinkot,32.6268,65.8733,299.43,14,0,1.03,AF,1718047093
211,happy valley-goose bay,53.3168,-60.3315,292.32,55,20,6.17,CA,1718046909
212,puerto baquerizo moreno,-0.9,-89.6,298.7,73,40,9.26,EC,1718047093
213,richards bay,-28.783,32.0377,289.41,75,0,3.22,ZA,1718047093
214,sao miguel do araguaia,-13.275,-50.1628,306.26,26,10,2.23,BR,1718047093
215,claveria,18.6074,121.0832,300.36,85,85,1.62,PH,1718047093
216,labrador city,52.9463,-66.9114,293.1,57,75,9.39,CA,1718047093
217,dwarka,22.2394,68.9678,302.15,80,0,6.95,IN,1718047093
218,sur,22.5667,59.5289,305.37,55,0,7.03,OM,1718047093
219,marsabit,2.3284,37.9899,296.03,45,100,9.09,KE,1718047093
220,atasu,48.6814,71.6433,292.41,72,11,3.42,KZ,1718047093
221,menaka,15.9182,2.4022,312.16,21,32,5.28,ML,1718047093
222,amalapuram,16.5833,82.0167,302.05,72,92,2.46,IN,1718047093
223,ain sefra,32.75,-0.5833,302.46,23,100,5.91,DZ,1718047093
224,chitipa,-9.7024,33.2697,285.63,97,29,1.59,MW,1718047094
225,usogorsk,63.4106,48.6872,287.96,74,100,3.46,RU,1718047094
226,san juan de uraba,8.7592,-76.5297,302.0,80,91,2.59,CO,1718047094
227,saladan,7.6134,99.0365,302.13,77,100,7.34,TH,1718047094
228,uturoa,-16.7333,-151.4333,298.94,77,49,7.85,PF,1718047094
229,pursat,12.3333,103.6667,295.76,91,100,1.25,KH,1718047094
230,tosontsengel,48.7567,98.2839,282.34,79,11,1.32,MN,1718047094
231,klaksvik,62.2266,-6.589,278.66,78,100,10.96,FO,1718047094
232,shafter,35.5005,-119.2718,306.81,21,0,3.26,US,1718047094
233,skowhegan,44.7651,-69.7192,294.65,68,96,4.79,US,1718046973
234,ilebo,-4.3167,20.5833,296.15,46,71,0.49,CD,1718047094
235,ayorou,14.7308,0.9174,307.65,31,0,13.78,NE,1718047094
236,port douglas,-16.4833,145.4667,291.47,77,6,1.67,AU,1718047094
237,al hufuf,25.3646,49.5653,309.34,34,0,2.06,SA,1718047094
238,mount pearl,47.5166,-52.7813,289.73,97,100,8.23,CA,1718047094
239,joshimath,30.5667,79.5667,288.43,40,0,3.8,IN,1718047094
240,san carlos,9.6612,-68.5827,301.93,76,95,1.99,VE,1718047094
241,hohoe,7.1518,0.4736,299.25,86,14,2.61,GH,1718047094
242,bulakamba,-6.8748,108.9559,298.91,87,3,3.07,ID,1718047094
243,cabedelo,-6.9811,-34.8339,301.52,75,5,7.04,BR,1718047094
244,melilla,35.2937,-2.9383,298.26,56,0,8.23,ES,1718046931
245,safaga,26.7292,33.9365,303.72,42,0,2.12,EG,1718047094
246,porto murtinho,-21.6989,-57.8825,308.56,18,7,5.25,BR,1718047094
247,abu dhabi,24.4667,54.3667,308.68,56,0,2.57,AE,1718046903
248,coari,-4.085,-63.1414,303.3,66,16,1.54,BR,1718047095
249,nagqu,31.5,92.0,278.71,72,0,1.44,CN,1718047095
250,tsiombe,-25.3,45.4833,291.51,71,19,6.83,MG,1718047095
251,berezovyy,51.6667,135.7,281.06,100,100,1.11,RU,1718047095
252,rodolfo sanchez taboada,31.7167,-116.5667,292.65,68,85,1.34,MX,1718047095
253,aleksandrovsk-sakhalinskiy,50.8975,142.1561,286.24,99,100,2.49,RU,1718047095
254,aykhal,66.0,111.5,287.95,55,99,2.58,RU,1718047095
